MO,DY,HR,ALLSKY_SFC_SW_DWN,SZA
1,1,0,0,-999
1,1,1,0,-999
1,1,2,0,-999
1,1,3,0,-999
1,1,4,0,-999
1,1,5,0,-999
1,1,6,0,-999
1,1,7,61.01,82.04
1,1,8,175.41,72.66
1,1,9,300.76,64.71
1,1,10,372.72,59.16
1,1,11,341.27,56.74
1,1,12,290.29,57.84
1,1,13,217.14,62.29
1,1,14,158.87,69.42
1,1,15,72.04,78.51
1,1,16,13.62,88.04
1,1,17,0,-999
1,1,18,0,-999
1,1,19,0,-999
1,1,20,0,-999
1,1,21,0,-999
1,1,22,0,-999
1,1,23,0,-999
1,2,0,0,-999
1,2,1,0,-999
1,2,2,0,-999
1,2,3,0,-999
1,2,4,0,-999
1,2,5,0,-999
1,2,6,0,-999
1,2,7,30.18,82.07
1,2,8,62.75,72.67
1,2,9,182.99,64.7
1,2,10,141.37,59.12
1,2,11,171.49,56.66
1,2,12,190.53,57.74
1,2,13,217.38,62.17
1,2,14,137.79,69.3
1,2,15,66.52,78.38
1,2,16,13.59,87.95
1,2,17,0,-999
1,2,18,0,-999
1,2,19,0,-999
1,2,20,0,-999
1,2,21,0,-999
1,2,22,0,-999
1,2,23,0,-999
1,3,0,0,-999
1,3,1,0,-999
1,3,2,0,-999
1,3,3,0,-999
1,3,4,0,-999
1,3,5,0,-999
1,3,6,0,-999
1,3,7,41.62,82.1
1,3,8,115.09,72.67
1,3,9,210.53,64.67
1,3,10,224.68,59.06
1,3,11,218.59,56.58
1,3,12,235.4,57.63
1,3,13,156.94,62.04
1,3,14,111.75,69.16
1,3,15,52.09,78.23
1,3,16,13.93,87.87
1,3,17,0,-999
1,3,18,0,-999
1,3,19,0,-999
1,3,20,0,-999
1,3,21,0,-999
1,3,22,0,-999
1,3,23,0,-999
1,4,0,0,-999
1,4,1,0,-999
1,4,2,0,-999
1,4,3,0,-999
1,4,4,0,-999
1,4,5,0,-999
1,4,6,0,-999
1,4,7,29.43,82.12
1,4,8,67.66,72.66
1,4,9,152.21,64.64
1,4,10,175.91,59
1,4,11,335.52,56.48
1,4,12,232.68,57.52
1,4,13,212.09,61.91
1,4,14,129.25,69.02
1,4,15,53.41,78.09
1,4,16,13.2,87.77
1,4,17,0,-999
1,4,18,0,-999
1,4,19,0,-999
1,4,20,0,-999
1,4,21,0,-999
1,4,22,0,-999
1,4,23,0,-999
1,5,0,0,-999
1,5,1,0,-999
1,5,2,0,-999
1,5,3,0,-999
1,5,4,0,-999
1,5,5,0,-999
1,5,6,0,-999
1,5,7,42.7,82.13
1,5,8,103.4,72.66
1,5,9,214.05,64.6
1,5,10,264.26,58.93
1,5,11,251.96,56.38
1,5,12,288.1,57.39
1,5,13,207.11,61.77
1,5,14,152.99,68.87
1,5,15,66.02,77.94
1,5,16,14.27,87.68
1,5,17,0,-999
1,5,18,0,-999
1,5,19,0,-999
1,5,20,0,-999
1,5,21,0,-999
1,5,22,0,-999
1,5,23,0,-999
1,6,0,0,-999
1,6,1,0,-999
1,6,2,0,-999
1,6,3,0,-999
1,6,4,0,-999
1,6,5,0,-999
1,6,6,0,-999
1,6,7,78.98,82.14
1,6,8,234.3,72.64
1,6,9,397.05,64.55
1,6,10,497.95,58.85
1,6,11,563.41,56.28
1,6,12,494.71,57.26
1,6,13,430.79,61.62
1,6,14,305.06,68.71
1,6,15,144.88,77.78
1,6,16,22.11,87.58
1,6,17,0,-999
1,6,18,0,-999
1,6,19,0,-999
1,6,20,0,-999
1,6,21,0,-999
1,6,22,0,-999
1,6,23,0,-999
1,7,0,0,-999
1,7,1,0,-999
1,7,2,0,-999
1,7,3,0,-999
1,7,4,0,-999
1,7,5,0,-999
1,7,6,0,-999
1,7,7,55.88,82.14
1,7,8,145.09,72.61
1,7,9,245.21,64.5
1,7,10,303.47,58.77
1,7,11,337.79,56.16
